artwork,dimension,level,reason,:TYPE
828,details_and_texture,Outstanding,,HAS_LEVEL
828,overall,Very Good,,HAS_LEVEL
828,mood,Excellent,,HAS_LEVEL
829,theme_and_logic,Good,,HAS_LEVEL
829,creativity,Good,,HAS_LEVEL
829,layout_and_composition,Good,,HAS_LEVEL
829,sense_of_order,Good,very regular,HAS_LEVEL
829,color,Average,the colors are also very standard,HAS_LEVEL
829,details_and_texture,Good,The brushstrokes on the screen are very regular,HAS_LEVEL
829,overall,Good,,HAS_LEVEL
829,mood,Good,creating a strong sense of artistic conception,HAS_LEVEL
830,theme_and_logic,Average,,HAS_LEVEL
830,layout_and_composition,Average,the center of gravity is slightly biased to the right,HAS_LEVEL
830,space_and_perspective,Average,"the front, middle, and back scenes are also processed",HAS_LEVEL
830,sense_of_order,Average,The overall linear representation of the screen is unified,HAS_LEVEL
830,light_and_shadow,Average,,HAS_LEVEL
830,details_and_texture,Average,,HAS_LEVEL
830,overall,Average,The overall linear representation of the screen is unified,HAS_LEVEL
830,mood,Average,,HAS_LEVEL
831,theme_and_logic,Very Good,,HAS_LEVEL
831,creativity,Very Good,,HAS_LEVEL
831,layout_and_composition,Very Good,,HAS_LEVEL
831,sense_of_order,Very Good,,HAS_LEVEL
831,color,Very Good,,HAS_LEVEL
831,details_and_texture,Good,,HAS_LEVEL
831,overall,Very Good,,HAS_LEVEL
832,layout_and_composition,Average,,HAS_LEVEL
832,space_and_perspective,Average,,HAS_LEVEL
832,light_and_shadow,Average,,HAS_LEVEL
832,color,Average,,HAS_LEVEL
832,details_and_texture,Average,,HAS_LEVEL
832,overall,Average,,HAS_LEVEL
833,theme_and_logic,Good,,HAS_LEVEL
833,layout_and_composition,Good,,HAS_LEVEL
833,space_and_perspective,Good,,HAS_LEVEL
833,sense_of_order,Good,,HAS_LEVEL
833,light_and_shadow,Good,,HAS_LEVEL
833,color,Good,colors are delicate and harmonious,HAS_LEVEL
833,details_and_texture,Good,The strokes are rich and diverse,HAS_LEVEL
833,overall,Good,the picture is seamlessly integrated,HAS_LEVEL
833,mood,Good,"a clever combination of virtual and real, cold and warm",HAS_LEVEL
834,theme_and_logic,Good,,HAS_LEVEL
834,layout_and_composition,Good,,HAS_LEVEL
834,space_and_perspective,Good,,HAS_LEVEL
834,sense_of_order,Good,,HAS_LEVEL
834,light_and_shadow,Good,,HAS_LEVEL
834,details_and_texture,Good,,HAS_LEVEL
834,overall,Good,,HAS_LEVEL
834,mood,Good,,HAS_LEVEL
835,theme_and_logic,Good,,HAS_LEVEL
835,layout_and_composition,Good,The composition of the picture is rigid and lacks variation,HAS_LEVEL
835,space_and_perspective,Good,"insufficient levels of distant, medium, and close shots",HAS_LEVEL
835,sense_of_order,Good,"The strokes used in the picture are very regular, and the colors are also very regular",HAS_LEVEL
835,light_and_shadow,Good,,HAS_LEVEL
835,color,Good,insufficient color levels,HAS_LEVEL
835,details_and_texture,Good,The strokes used in the picture are very regular,HAS_LEVEL
835,overall,Very Good,,HAS_LEVEL
835,mood,Good,creating a strong sense of artistic conception,HAS_LEVEL
836,theme_and_logic,Good,,HAS_LEVEL
836,creativity,Very Good,,HAS_LEVEL
836,layout_and_composition,Good,The composition is just right,HAS_LEVEL
836,sense_of_order,Average,,HAS_LEVEL
836,color,Good,"monotonous colors, background color can be more diverse, rich colors",HAS_LEVEL
836,details_and_texture,Good,details are not fully expressed,HAS_LEVEL
836,overall,Good,"very impressive, creating a vivid picture",HAS_LEVEL
836,mood,Good,,HAS_LEVEL
837,layout_and_composition,Excellent,,HAS_LEVEL
837,space_and_perspective,Very Good,,HAS_LEVEL
837,light_and_shadow,Very Good,,HAS_LEVEL
837,color,Very Good,,HAS_LEVEL
837,details_and_texture,Very Good,highlighting the expressions of the characters,HAS_LEVEL
837,overall,Very Good,making the entire character very lively,HAS_LEVEL
838,theme_and_logic,Average,vague thematic expression,HAS_LEVEL
838,creativity,Average,,HAS_LEVEL
838,layout_and_composition,Average,more complete composition,HAS_LEVEL
838,sense_of_order,Average,lacks a sense of hierarchy,HAS_LEVEL
838,color,Average,rich colors,HAS_LEVEL
838,details_and_texture,Below Average,well handled details,HAS_LEVEL
838,overall,Average,prominent main objects,HAS_LEVEL
838,mood,Average,,HAS_LEVEL
839,theme_and_logic,Good,,HAS_LEVEL
839,creativity,Very Good,,HAS_LEVEL
839,layout_and_composition,Average,,HAS_LEVEL
839,sense_of_order,Good,,HAS_LEVEL
839,color,Good,,HAS_LEVEL
839,details_and_texture,Good,,HAS_LEVEL
839,overall,Good,,HAS_LEVEL
839,mood,Good,,HAS_LEVEL
840,layout_and_composition,Very Good,,HAS_LEVEL
840,space_and_perspective,Good,,HAS_LEVEL
840,light_and_shadow,Very Good,,HAS_LEVEL
840,color,Very Good,,HAS_LEVEL
840,details_and_texture,Very Good,,HAS_LEVEL
840,overall,Very Good,,HAS_LEVEL
841,theme_and_logic,Good,,HAS_LEVEL
841,creativity,Good,,HAS_LEVEL
841,layout_and_composition,Good,The composition of the picture has a strong visual impact,HAS_LEVEL
841,sense_of_order,Good,the main body forming color blocks,HAS_LEVEL
841,color,Very Good,contrasting and unified tones,HAS_LEVEL
841,details_and_texture,Good,The main character is well crafted,HAS_LEVEL
841,overall,Good,,HAS_LEVEL
842,layout_and_composition,Good,,HAS_LEVEL
842,space_and_perspective,Very Good,,HAS_LEVEL
842,light_and_shadow,Good,,HAS_LEVEL
842,color,Good,,HAS_LEVEL
842,details_and_texture,Very Good,,HAS_LEVEL
842,overall,Good,,HAS_LEVEL
843,layout_and_composition,Poor,,HAS_LEVEL
843,space_and_perspective,Poor,,HAS_LEVEL
843,light_and_shadow,Horrendous,,HAS_LEVEL
843,color,Poor,Bold use of colors,HAS_LEVEL
843,details_and_texture,Poor,inadequate detail portrayal,HAS_LEVEL
843,overall,Poor,mediocre visuals,HAS_LEVEL
844,theme_and_logic,Excellent,,HAS_LEVEL
844,layout_and_composition,Very Good,,HAS_LEVEL
844,space_and_perspective,Very Good,,HAS_LEVEL
844,sense_of_order,Excellent,,HAS_LEVEL
844,light_and_shadow,Excellent,,HAS_LEVEL
844,color,Very Good,,HAS_LEVEL
844,details_and_texture,Excellent,,HAS_LEVEL
844,overall,Excellent,,HAS_LEVEL
844,mood,Excellent,,HAS_LEVEL
845,theme_and_logic,Below Average,,HAS_LEVEL
845,layout_and_composition,Poor,,HAS_LEVEL
845,space_and_perspective,Poor,"does not distinguish between the near, medium, and far range levels of the screen",HAS_LEVEL
845,sense_of_order,Poor,,HAS_LEVEL
845,light_and_shadow,Poor,,HAS_LEVEL
845,details_and_texture,Horrendous,,HAS_LEVEL
845,overall,Poor,The overall performance of the screen is too simple,HAS_LEVEL
845,mood,Poor,,HAS_LEVEL
846,layout_and_composition,Very Good,,HAS_LEVEL
846,space_and_perspective,Very Good,,HAS_LEVEL
846,light_and_shadow,Very Good,,HAS_LEVEL
846,details_and_texture,Very Good,,HAS_LEVEL
846,overall,Very Good,,HAS_LEVEL
847,theme_and_logic,Very Good,,HAS_LEVEL
847,layout_and_composition,Very Good,,HAS_LEVEL
847,space_and_perspective,Good,strong sense of space,HAS_LEVEL
847,sense_of_order,Very Good,clear hierarchy of branches and leaves,HAS_LEVEL
847,light_and_shadow,Average,,HAS_LEVEL
847,details_and_texture,Average,,HAS_LEVEL
847,overall,Good,The visual lines are smooth,HAS_LEVEL
847,mood,Good,,HAS_LEVEL
848,theme_and_logic,Very Good,,HAS_LEVEL
848,creativity,Very Good,,HAS_LEVEL
848,layout_and_composition,Good,,HAS_LEVEL
848,sense_of_order,Very Good,,HAS_LEVEL
848,color,Good,,HAS_LEVEL
848,details_and_texture,Good,,HAS_LEVEL
848,overall,Very Good,,HAS_LEVEL
849,theme_and_logic,Good,,HAS_LEVEL
849,creativity,Good,Very innovative traditional Chinese painting techniques,HAS_LEVEL
849,layout_and_composition,Good,,HAS_LEVEL
849,sense_of_order,Good,,HAS_LEVEL
849,color,Very Good,elegant colors,HAS_LEVEL
849,details_and_texture,Good,delicate shapes,HAS_LEVEL
849,overall,Good,The visual effect is good,HAS_LEVEL
850,theme_and_logic,Excellent,,HAS_LEVEL
850,layout_and_composition,Very Good,,HAS_LEVEL
850,space_and_perspective,Very Good,,HAS_LEVEL
850,sense_of_order,Excellent,,HAS_LEVEL
850,light_and_shadow,Very Good,,HAS_LEVEL
850,color,Very Good,,HAS_LEVEL
850,details_and_texture,Excellent,,HAS_LEVEL
850,overall,Very Good,,HAS_LEVEL
850,mood,Very Good,,HAS_LEVEL
851,theme_and_logic,Average,,HAS_LEVEL
851,layout_and_composition,Average,the overall linear representation of the screen is unified,HAS_LEVEL
851,space_and_perspective,Average,"the front, middle, and back scenes have also been processed",HAS_LEVEL
851,sense_of_order,Average,the overall linear representation of the screen is unified,HAS_LEVEL
851,light_and_shadow,Poor,,HAS_LEVEL
851,details_and_texture,Below Average,,HAS_LEVEL
851,overall,Average,the focus is not clear enough,HAS_LEVEL
851,mood,Average,,HAS_LEVEL
852,theme_and_logic,Very Good,,HAS_LEVEL
852,creativity,Good,,HAS_LEVEL
852,layout_and_composition,Average,,HAS_LEVEL
852,sense_of_order,Good,,HAS_LEVEL
852,color,Average,,HAS_LEVEL
852,details_and_texture,Average,,HAS_LEVEL
852,overall,Good,,HAS_LEVEL
852,mood,Good,,HAS_LEVEL
853,theme_and_logic,Good,,HAS_LEVEL
853,creativity,Good,the composition is creative,HAS_LEVEL
853,layout_and_composition,Good,the composition is creative,HAS_LEVEL
853,sense_of_order,Good,,HAS_LEVEL
853,color,Good,the overall color tone is unified,HAS_LEVEL
853,details_and_texture,Good,the main character is well crafted,HAS_LEVEL
853,overall,Good,The artistic conception of the picture is very good,HAS_LEVEL
854,theme_and_logic,Average,unclear theme content,HAS_LEVEL
854,layout_and_composition,Good,Fuzzy composition segmentation,HAS_LEVEL
854,space_and_perspective,Good,,HAS_LEVEL
854,sense_of_order,Good,,HAS_LEVEL
854,light_and_shadow,Good,,HAS_LEVEL
854,color,Good,bright colors,HAS_LEVEL
854,details_and_texture,Average,,HAS_LEVEL
854,overall,Good,strong visual effect,HAS_LEVEL
854,mood,Average,,HAS_LEVEL
855,layout_and_composition,Good,,HAS_LEVEL
855,space_and_perspective,Average,,HAS_LEVEL
855,light_and_shadow,Average,,HAS_LEVEL
855,color,Good,The color is realistic,HAS_LEVEL
855,details_and_texture,Good,,HAS_LEVEL
855,overall,Good,the picture is relatively mediocre,HAS_LEVEL
856,layout_and_composition,Excellent,,HAS_LEVEL
856,space_and_perspective,Very Good,,HAS_LEVEL
856,light_and_shadow,Very Good,,HAS_LEVEL
856,color,Excellent,,HAS_LEVEL
856,details_and_texture,Excellent,,HAS_LEVEL
856,overall,Excellent,,HAS_LEVEL
857,layout_and_composition,Very Good,,HAS_LEVEL
857,space_and_perspective,Very Good,,HAS_LEVEL
857,light_and_shadow,Very Good,,HAS_LEVEL
857,color,Very Good,,HAS_LEVEL
857,details_and_texture,Very Good,the strokes are relatively rough,HAS_LEVEL
857,overall,Good,The specific image is well portrayed,HAS_LEVEL
858,theme_and_logic,Average,,HAS_LEVEL
858,layout_and_composition,Average,,HAS_LEVEL
858,space_and_perspective,Below Average,,HAS_LEVEL
858,sense_of_order,Average,,HAS_LEVEL
858,light_and_shadow,Below Average,,HAS_LEVEL
858,color,Below Average,,HAS_LEVEL
858,details_and_texture,Below Average,,HAS_LEVEL
858,overall,Below Average,,HAS_LEVEL
858,mood,Below Average,,HAS_LEVEL
859,layout_and_composition,Very Good,,HAS_LEVEL
859,space_and_perspective,Very Good,the entire picture a more layered feel,HAS_LEVEL
859,light_and_shadow,Very Good,,HAS_LEVEL
859,color,Good,The color contrast,HAS_LEVEL
859,details_and_texture,Very Good,the specific details are not well portrayed,HAS_LEVEL
859,overall,Very Good,,HAS_LEVEL
860,layout_and_composition,Excellent,,HAS_LEVEL
860,space_and_perspective,Excellent,,HAS_LEVEL
860,light_and_shadow,Excellent,,HAS_LEVEL
860,color,Excellent,,HAS_LEVEL
860,details_and_texture,Excellent,,HAS_LEVEL
860,overall,Very Good,,HAS_LEVEL
861,theme_and_logic,Poor,,HAS_LEVEL
861,creativity,Below Average,can still be used as a creative line drawing for children,HAS_LEVEL
861,layout_and_composition,Below Average,,HAS_LEVEL
861,sense_of_order,Below Average,,HAS_LEVEL
861,details_and_texture,Poor,lacks basic painting elements,HAS_LEVEL
861,overall,Below Average,,HAS_LEVEL
861,mood,Poor,,HAS_LEVEL
862,theme_and_logic,Very Good,,HAS_LEVEL
862,creativity,Very Good,,HAS_LEVEL
862,layout_and_composition,Very Good,a bit too full composition,HAS_LEVEL
862,sense_of_order,Very Good,very regular,HAS_LEVEL
862,color,Very Good,colors are also very standard,HAS_LEVEL
862,details_and_texture,Very Good,Lack of details,HAS_LEVEL
862,overall,Very Good,,HAS_LEVEL
862,mood,Very Good,creating a strong sense of artistic conception,HAS_LEVEL
863,theme_and_logic,Very Good,,HAS_LEVEL
863,layout_and_composition,Very Good,well arranged,HAS_LEVEL
863,space_and_perspective,Very Good,,HAS_LEVEL
863,sense_of_order,Very Good,everything is arranged perfectly,HAS_LEVEL
863,light_and_shadow,Very Good,The contrast is sharp,HAS_LEVEL
863,color,Very Good,,HAS_LEVEL
863,details_and_texture,Very Good,,HAS_LEVEL
863,overall,Very Good,the central image is prominent,HAS_LEVEL
863,mood,Very Good,,HAS_LEVEL
864,theme_and_logic,Very Good,,HAS_LEVEL
864,layout_and_composition,Very Good,,HAS_LEVEL
864,space_and_perspective,Good,full and three-dimensional image,HAS_LEVEL
864,sense_of_order,Very Good,Rich sense of hierarchy,HAS_LEVEL
864,light_and_shadow,Very Good,,HAS_LEVEL
864,color,Very Good,beautiful and harmonious colors,HAS_LEVEL
864,details_and_texture,Very Good,precise details,HAS_LEVEL
864,overall,Very Good,,HAS_LEVEL
864,mood,Very Good,,HAS_LEVEL
865,theme_and_logic,Good,,HAS_LEVEL
865,creativity,Good,,HAS_LEVEL
865,layout_and_composition,Good,,HAS_LEVEL
865,sense_of_order,Good,,HAS_LEVEL
865,color,Good,,HAS_LEVEL
865,details_and_texture,Average,,HAS_LEVEL
865,overall,Good,,HAS_LEVEL
865,mood,Good,,HAS_LEVEL
866,theme_and_logic,Very Good,,HAS_LEVEL
866,layout_and_composition,Very Good,,HAS_LEVEL
866,space_and_perspective,Very Good,,HAS_LEVEL
866,sense_of_order,Very Good,,HAS_LEVEL
866,light_and_shadow,Very Good,,HAS_LEVEL
866,color,Very Good,,HAS_LEVEL
866,details_and_texture,Very Good,,HAS_LEVEL
866,overall,Excellent,,HAS_LEVEL
866,mood,Very Good,,HAS_LEVEL
867,theme_and_logic,Very Good,,HAS_LEVEL
867,layout_and_composition,Very Good,,HAS_LEVEL
867,space_and_perspective,Good,,HAS_LEVEL
867,sense_of_order,Very Good,,HAS_LEVEL
867,light_and_shadow,Very Good,,HAS_LEVEL
867,details_and_texture,Excellent,,HAS_LEVEL
867,overall,Excellent,,HAS_LEVEL
867,mood,Good,,HAS_LEVEL
868,theme_and_logic,Excellent,,HAS_LEVEL
868,layout_and_composition,Excellent,,HAS_LEVEL
868,space_and_perspective,Very Good,,HAS_LEVEL
868,sense_of_order,Excellent,,HAS_LEVEL
868,light_and_shadow,Excellent,,HAS_LEVEL
868,color,Very Good,,HAS_LEVEL
868,details_and_texture,Excellent,,HAS_LEVEL
868,overall,Very Good,,HAS_LEVEL
868,mood,Excellent,,HAS_LEVEL
869,theme_and_logic,Good,,HAS_LEVEL
869,layout_and_composition,Good,,HAS_LEVEL
869,space_and_perspective,Good,,HAS_LEVEL
869,sense_of_order,Good,,HAS_LEVEL
869,light_and_shadow,Good,,HAS_LEVEL
869,color,Good,,HAS_LEVEL
869,details_and_texture,Average,,HAS_LEVEL
869,overall,Average,,HAS_LEVEL
869,mood,Good,,HAS_LEVEL
870,theme_and_logic,Average,,HAS_LEVEL
870,creativity,Average,,HAS_LEVEL
870,layout_and_composition,Below Average,,HAS_LEVEL
870,sense_of_order,Below Average,,HAS_LEVEL
870,color,Below Average,the colors are relatively single,HAS_LEVEL
870,details_and_texture,Below Average,there is a lack of detailed depiction,HAS_LEVEL
870,overall,Average,The portrayal of the main subject in the picture is not sufficient,HAS_LEVEL
870,mood,Average,,HAS_LEVEL
871,theme_and_logic,Average,,HAS_LEVEL
871,creativity,Average,,HAS_LEVEL
871,layout_and_composition,Average,,HAS_LEVEL
871,sense_of_order,Good,,HAS_LEVEL
871,color,Average,,HAS_LEVEL
871,details_and_texture,Average,,HAS_LEVEL
871,overall,Good,,HAS_LEVEL
872,theme_and_logic,Very Good,,HAS_LEVEL
872,layout_and_composition,Very Good,The composition and layout of this artwork are relatively reasonable,HAS_LEVEL
872,space_and_perspective,Very Good,giving the image a sense of space,HAS_LEVEL
872,sense_of_order,Very Good,,HAS_LEVEL
872,light_and_shadow,Very Good,,HAS_LEVEL
872,details_and_texture,Very Good,slightly insufficient details and a slightly stiff tree trunk,HAS_LEVEL
872,overall,Very Good,,HAS_LEVEL
872,mood,Very Good,,HAS_LEVEL
873,layout_and_composition,Good,,HAS_LEVEL
873,space_and_perspective,Very Good,,HAS_LEVEL
873,light_and_shadow,Good,,HAS_LEVEL
873,color,Very Good,,HAS_LEVEL
873,details_and_texture,Very Good,highlighting the expressions of the characters,HAS_LEVEL
873,overall,Very Good,making the entire character very lively,HAS_LEVEL
874,theme_and_logic,Excellent,,HAS_LEVEL
874,layout_and_composition,Excellent,,HAS_LEVEL
874,space_and_perspective,Excellent,,HAS_LEVEL
874,sense_of_order,Excellent,the brushstrokes on the screen are very regular,HAS_LEVEL
874,light_and_shadow,Excellent,,HAS_LEVEL
874,color,Very Good,"the color scheme of the picture is bold, the colors are also very standard",HAS_LEVEL
874,details_and_texture,Excellent,"the water content is controlled reasonably, the ink color is dyed appropriately, the flower color is just right",HAS_LEVEL
874,overall,Excellent,,HAS_LEVEL
874,mood,Excellent,creating a strong sense of artistic conception,HAS_LEVEL
875,theme_and_logic,Below Average,,HAS_LEVEL
875,creativity,Poor,,HAS_LEVEL
875,layout_and_composition,Below Average,,HAS_LEVEL
875,sense_of_order,Below Average,,HAS_LEVEL
875,details_and_texture,Below Average,the details are not well handled,HAS_LEVEL
875,overall,Below Average,,HAS_LEVEL
875,mood,Below Average,,HAS_LEVEL
876,theme_and_logic,Average,,HAS_LEVEL
876,creativity,Average,,HAS_LEVEL
876,layout_and_composition,Below Average,,HAS_LEVEL
876,sense_of_order,Average,,HAS_LEVEL
876,color,Average,,HAS_LEVEL
876,details_and_texture,Average,,HAS_LEVEL
876,overall,Average,,HAS_LEVEL
876,mood,Average,,HAS_LEVEL
877,theme_and_logic,Below Average,,HAS_LEVEL
877,creativity,Below Average,,HAS_LEVEL
877,layout_and_composition,Below Average,,HAS_LEVEL
877,sense_of_order,Poor,,HAS_LEVEL
877,color,Below Average,,HAS_LEVEL
877,details_and_texture,Below Average,,HAS_LEVEL
877,overall,Below Average,,HAS_LEVEL
878,theme_and_logic,Average,,HAS_LEVEL
878,creativity,Average,,HAS_LEVEL
878,layout_and_composition,Average,,HAS_LEVEL
878,sense_of_order,Average,,HAS_LEVEL
878,details_and_texture,Average,,HAS_LEVEL
878,overall,Average,,HAS_LEVEL
878,mood,Average,,HAS_LEVEL
879,theme_and_logic,Good,,HAS_LEVEL
879,creativity,Good,A very innovative technique for creating traditional Chinese painting,HAS_LEVEL
879,layout_and_composition,Good,dividing them into different sizes based on their seniority,HAS_LEVEL
879,sense_of_order,Good,,HAS_LEVEL
879,color,Good,,HAS_LEVEL
879,details_and_texture,Good,"highlighting the expressions of the characters, making the entire character very lively",HAS_LEVEL
879,overall,Good,the picture is incomplete and incomplete,HAS_LEVEL
880,theme_and_logic,Below Average,,HAS_LEVEL
880,creativity,Below Average,,HAS_LEVEL
880,layout_and_composition,Below Average,,HAS_LEVEL
880,sense_of_order,Below Average,,HAS_LEVEL
880,color,Below Average,,HAS_LEVEL
880,details_and_texture,Poor,,HAS_LEVEL
880,overall,Below Average,,HAS_LEVEL
881,theme_and_logic,Good,,HAS_LEVEL
881,layout_and_composition,Good,The composition of the picture are unique,HAS_LEVEL
881,space_and_perspective,Average,"perspective of the picture are unique, the relationship can be further extended from near to far",HAS_LEVEL
881,sense_of_order,Good,,HAS_LEVEL
881,light_and_shadow,Good,,HAS_LEVEL
881,color,Good,,HAS_LEVEL
881,details_and_texture,Average,,HAS_LEVEL
881,overall,Good,,HAS_LEVEL
881,mood,Good,,HAS_LEVEL
882,theme_and_logic,Average,,HAS_LEVEL
882,creativity,Average,,HAS_LEVEL
882,layout_and_composition,Average,,HAS_LEVEL
882,sense_of_order,Below Average,,HAS_LEVEL
882,details_and_texture,Below Average,,HAS_LEVEL
882,overall,Average,,HAS_LEVEL
882,mood,Below Average,,HAS_LEVEL
883,theme_and_logic,Very Good,,HAS_LEVEL
883,creativity,Good,,HAS_LEVEL
883,layout_and_composition,Good,,HAS_LEVEL
883,sense_of_order,Very Good,,HAS_LEVEL
883,color,Very Good,,HAS_LEVEL
883,details_and_texture,Good,,HAS_LEVEL
883,overall,Very Good,,HAS_LEVEL
883,mood,Very Good,,HAS_LEVEL
884,theme_and_logic,Very Good,,HAS_LEVEL
884,layout_and_composition,Very Good,,HAS_LEVEL
884,space_and_perspective,Very Good,,HAS_LEVEL
884,sense_of_order,Very Good,,HAS_LEVEL
884,light_and_shadow,Very Good,,HAS_LEVEL
884,details_and_texture,Very Good,,HAS_LEVEL
884,overall,Very Good,,HAS_LEVEL
884,mood,Good,,HAS_LEVEL
885,theme_and_logic,Poor,,HAS_LEVEL
885,creativity,Below Average,,HAS_LEVEL
885,layout_and_composition,Below Average,,HAS_LEVEL
885,sense_of_order,Below Average,the details and order of the painting are not very harmonious,HAS_LEVEL
885,details_and_texture,Poor,the details and order of the painting are not very harmonious,HAS_LEVEL
885,overall,Poor,It's a bit simple,HAS_LEVEL
886,theme_and_logic,Good,,HAS_LEVEL
886,layout_and_composition,Good,,HAS_LEVEL
886,space_and_perspective,Good,,HAS_LEVEL
886,sense_of_order,Good,,HAS_LEVEL
886,light_and_shadow,Good,,HAS_LEVEL
886,color,Good,,HAS_LEVEL
886,details_and_texture,Average,,HAS_LEVEL
886,overall,Average,,HAS_LEVEL
886,mood,Good,,HAS_LEVEL
887,theme_and_logic,Average,,HAS_LEVEL
887,layout_and_composition,Average,,HAS_LEVEL
887,space_and_perspective,Below Average,,HAS_LEVEL
887,sense_of_order,Average,,HAS_LEVEL
887,light_and_shadow,Below Average,,HAS_LEVEL
887,details_and_texture,Below Average,,HAS_LEVEL
887,overall,Average,,HAS_LEVEL
887,mood,Below Average,,HAS_LEVEL
888,layout_and_composition,Below Average,,HAS_LEVEL
888,space_and_perspective,Below Average,,HAS_LEVEL
888,light_and_shadow,Below Average,,HAS_LEVEL
888,details_and_texture,Poor,lack of detailed depiction,HAS_LEVEL
888,overall,Below Average,"The characters are not quite aligned, the facial structure is weak",HAS_LEVEL
889,theme_and_logic,Average,,HAS_LEVEL
889,layout_and_composition,Average,,HAS_LEVEL
889,space_and_perspective,Average,,HAS_LEVEL
889,sense_of_order,Average,,HAS_LEVEL
889,light_and_shadow,Below Average,,HAS_LEVEL
889,color,Below Average,,HAS_LEVEL
889,details_and_texture,Average,,HAS_LEVEL
889,overall,Below Average,,HAS_LEVEL
889,mood,Below Average,,HAS_LEVEL
890,theme_and_logic,Good,,HAS_LEVEL
890,creativity,Very Good,A very innovative technique for creating traditional Chinese painting,HAS_LEVEL
890,layout_and_composition,Very Good,,HAS_LEVEL
890,sense_of_order,Good,There is no distinction between primary and secondary,HAS_LEVEL
890,color,Very Good,the ink color is vivid,HAS_LEVEL
890,details_and_texture,Good,the details are slightly insufficient,HAS_LEVEL
890,overall,Very Good,,HAS_LEVEL
890,mood,Very Good,highlighting the expressions of animals and creating a very vivid picture,HAS_LEVEL
891,theme_and_logic,Very Good,,HAS_LEVEL
891,creativity,Very Good,,HAS_LEVEL
891,layout_and_composition,Good,"the composition is reasonable, the distribution of elements in the picture is relatively balanced",HAS_LEVEL
891,sense_of_order,Very Good,,HAS_LEVEL
891,color,Very Good,the color matching is harmonious and layered,HAS_LEVEL
891,details_and_texture,Very Good,the strokes are delicate and varied,HAS_LEVEL
891,overall,Very Good,,HAS_LEVEL
891,mood,Very Good,,HAS_LEVEL
892,theme_and_logic,Good,,HAS_LEVEL
892,creativity,Good,,HAS_LEVEL
892,layout_and_composition,Good,the composition is too full,HAS_LEVEL
892,sense_of_order,Good,,HAS_LEVEL
892,color,Good,strong contrast between dry and wet changes,HAS_LEVEL
892,details_and_texture,Good,the details need to be improved,HAS_LEVEL
892,overall,Good,the picture is very simple,HAS_LEVEL
892,mood,Very Good,giving people a pleasing artistic conception,HAS_LEVEL
893,layout_and_composition,Average,,HAS_LEVEL
893,space_and_perspective,Good,,HAS_LEVEL
893,light_and_shadow,Below Average,,HAS_LEVEL
893,details_and_texture,Good,,HAS_LEVEL
893,overall,Good,,HAS_LEVEL
894,theme_and_logic,Very Good,,HAS_LEVEL
894,layout_and_composition,Very Good,composition skills,HAS_LEVEL
894,space_and_perspective,Very Good,,HAS_LEVEL
894,sense_of_order,Good,,HAS_LEVEL
894,light_and_shadow,Good,,HAS_LEVEL
894,details_and_texture,Good,delicate details,HAS_LEVEL
894,overall,Very Good,vivid and interesting,HAS_LEVEL
894,mood,Good,,HAS_LEVEL
895,theme_and_logic,Very Good,,HAS_LEVEL
895,layout_and_composition,Very Good,The composition and layout of this work are relatively reasonable,HAS_LEVEL
895,space_and_perspective,Very Good,the picture has a sense of space,HAS_LEVEL
895,sense_of_order,Very Good,,HAS_LEVEL
895,light_and_shadow,Very Good,,HAS_LEVEL
895,details_and_texture,Very Good,The overall brushwork of the picture is slightly rough,HAS_LEVEL
895,overall,Very Good,,HAS_LEVEL
895,mood,Very Good,,HAS_LEVEL
896,theme_and_logic,Very Good,,HAS_LEVEL
896,creativity,Good,,HAS_LEVEL
896,layout_and_composition,Below Average,,HAS_LEVEL
896,sense_of_order,Good,,HAS_LEVEL
896,color,Average,,HAS_LEVEL
896,details_and_texture,Average,,HAS_LEVEL
896,overall,Good,,HAS_LEVEL
896,mood,Average,,HAS_LEVEL
897,layout_and_composition,Outstanding,,HAS_LEVEL
897,space_and_perspective,Excellent,,HAS_LEVEL
897,light_and_shadow,Excellent,,HAS_LEVEL
897,color,Outstanding,,HAS_LEVEL
897,details_and_texture,Excellent,,HAS_LEVEL
897,overall,Excellent,,HAS_LEVEL
898,theme_and_logic,Very Good,,HAS_LEVEL
898,layout_and_composition,Good,,HAS_LEVEL
898,space_and_perspective,Good,,HAS_LEVEL
898,sense_of_order,Good,,HAS_LEVEL
898,light_and_shadow,Excellent,,HAS_LEVEL
898,details_and_texture,Good,,HAS_LEVEL
898,overall,Good,,HAS_LEVEL
898,mood,Very Good,,HAS_LEVEL
899,theme_and_logic,Good,,HAS_LEVEL
899,creativity,Good,,HAS_LEVEL
899,layout_and_composition,Good,The screen layout is reasonable,HAS_LEVEL
899,sense_of_order,Good,,HAS_LEVEL
899,details_and_texture,Good,clear and powerful lines,HAS_LEVEL
899,overall,Good,presenting an overall aesthetic of simplicity without losing details,HAS_LEVEL
899,mood,Very Good,,HAS_LEVEL
900,theme_and_logic,Very Good,,HAS_LEVEL
900,layout_and_composition,Very Good,,HAS_LEVEL
900,space_and_perspective,Very Good,,HAS_LEVEL
900,sense_of_order,Very Good,,HAS_LEVEL
900,light_and_shadow,Very Good,,HAS_LEVEL
900,color,Good,,HAS_LEVEL
900,details_and_texture,Very Good,,HAS_LEVEL
900,overall,Very Good,,HAS_LEVEL
900,mood,Very Good,,HAS_LEVEL
